relationship_id,source_criminal,target_criminal,relationship_type,shared_fir_count,strength_score,active
REL000073,CR02034,CR01165,Family,0,66,True
REL000074,CR01330,CR02900,Known Contact,0,10,False
REL000075,CR00921,CR00948,Business Partner,0,56,True
REL000076,CR01973,CR00644,Known Contact,0,76,False
REL000077,CR02182,CR01681,Associate,0,96,True
REL000078,CR02568,CR01896,Co-Offender,0,8,False
REL000079,CR02599,CR00459,Associate,0,55,True
REL000080,CR01901,CR01161,Known Contact,0,95,True
REL000081,CR02167,CR00475,Financial Link,0,37,False
REL000082,CR02959,CR02148,Family,0,29,True
REL000083,CR01145,CR02326,Family,0,84,True
REL000084,CR00842,CR01901,Business Partner,0,67,False
REL000085,CR02279,CR00223,Business Partner,0,18,True
REL000086,CR01406,CR02819,Gang Member,0,48,True
REL000087,CR00080,CR02953,Known Contact,0,43,True
REL000088,CR00129,CR01866,Gang Member,0,72,True
REL000089,CR02588,CR02399,Family,0,31,True
REL000090,CR00991,CR01301,Business Partner,0,93,True
REL000091,CR01393,CR01417,Associate,0,56,False
REL000092,CR02805,CR02020,Associate,0,60,True
REL000093,CR01929,CR00599,Financial Link,0,98,True
REL000094,CR01617,CR02163,Gang Member,0,34,True
REL000095,CR02337,CR00355,Co-Offender,0,87,False
REL000096,CR00723,CR02976,Co-Offender,0,59,True
REL000097,CR01998,CR02054,Business Partner,0,4,True
REL000098,CR02257,CR00683,Business Partner,0,81,True
REL000099,CR02229,CR01626,Known Contact,0,93,True
REL000100,CR01279,CR02055,Financial Link,0,20,False
REL000101,CR00415,CR00109,Family,0,79,True
REL000102,CR00775,CR01581,Associate,0,7,True
REL000103,CR00291,CR01591,Business Partner,0,32,False
REL000104,CR01270,CR01549,Financial Link,0,6,False
REL000105,CR00817,CR02734,Gang Member,0,31,False
REL000106,CR02439,CR00172,Financial Link,0,98,True
REL000107,CR01017,CR01124,Family,0,46,True
REL000108,CR02612,CR00686,Family,0,84,True
REL000109,CR00068,CR02702,Business Partner,0,83,True
REL000110,CR00539,CR02287,Co-Offender,0,81,True
REL000111,CR01571,CR01143,Family,0,41,False
REL000112,CR01341,CR00631,Associate,0,75,True
REL000113,CR02731,CR00858,Family,0,85,True
REL000114,CR01199,CR00393,Associate,0,94,True
REL000115,CR01058,CR00705,Business Partner,0,84,True
REL000116,CR01254,CR01158,Associate,0,73,False
REL000117,CR01750,CR00250,Associate,0,42,False
REL000118,CR01013,CR00890,Gang Member,0,60,True
REL000119,CR01080,CR00937,Known Contact,0,52,True
REL000120,CR02606,CR01210,Gang Member,0,10,True
REL000121,CR00607,CR01738,Co-Offender,0,74,True
REL000122,CR01024,CR00524,Financial Link,0,16,True
REL000123,CR01015,CR00885,Financial Link,0,97,True
REL000124,CR01726,CR01946,Known Contact,0,85,True
REL000125,CR02158,CR01865,Known Contact,0,47,True
REL000126,CR01089,CR01265,Associate,0,68,False
REL000127,CR02335,CR01606,Associate,0,68,True
REL000128,CR02465,CR02338,Co-Offender,0,32,True
REL000129,CR00849,CR00216,Co-Offender,0,59,True
REL000130,CR00797,CR00046,Gang Member,0,30,True
REL000131,CR00975,CR02659,Business Partner,0,14,True
REL000132,CR01334,CR01845,Co-Offender,0,68,False
REL000133,CR01307,CR00882,Gang Member,0,87,True
REL000134,CR00974,CR02087,Financial Link,0,37,False
REL000135,CR00812,CR01666,Financial Link,0,38,False
REL000136,CR02818,CR02508,Co-Offender,0,45,True
REL000137,CR01777,CR01610,Business Partner,0,91,False
REL000138,CR01725,CR01458,Gang Member,0,37,True
REL000139,CR02293,CR00277,Known Contact,0,43,False
REL000140,CR01079,CR01972,Financial Link,0,92,True
REL000141,CR00501,CR00234,Business Partner,0,62,True
REL000142,CR02984,CR02588,Financial Link,0,69,True
REL000143,CR00990,CR00766,Gang Member,0,10,True
REL000144,CR00946,CR02838,Known Contact,0,33,False
REL000145,CR00012,CR01521,Known Contact,0,6,True
REL000146,CR01082,CR01679,Financial Link,0,7,True
REL000147,CR01285,CR01004,Gang Member,0,37,True
REL000148,CR02187,CR02633,Business Partner,0,51,True
REL000149,CR02363,CR02203,Business Partner,0,59,True
REL000150,CR00932,CR01982,Family,0,22,True
REL000151,CR01037,CR02572,Financial Link,0,15,True
REL000152,CR01692,CR02979,Co-Offender,0,30,True
REL000153,CR02435,CR02293,Co-Offender,0,79,True
REL000154,CR02427,CR00886,Family,0,67,True
REL000155,CR01742,CR02851,Known Contact,0,61,True
REL000156,CR02488,CR01717,Business Partner,0,13,True
REL000157,CR01992,CR02337,Gang Member,0,31,True
REL000158,CR00051,CR01739,Business Partner,0,92,False
REL000159,CR01450,CR00878,Associate,0,29,True
REL000160,CR01194,CR01592,Associate,0,14,False
REL000161,CR00026,CR01285,Co-Offender,0,46,False
REL000162,CR02108,CR02476,Associate,0,63,True
REL000163,CR01044,CR00250,Known Contact,0,76,True
REL000164,CR01786,CR02858,Family,0,80,True
REL000165,CR01254,CR00678,Financial Link,0,36,True
REL000166,CR02512,CR00086,Co-Offender,0,79,True
REL000167,CR02336,CR02326,Business Partner,0,19,True
REL000168,CR00339,CR01038,Business Partner,0,27,True
REL000169,CR02103,CR01555,Gang Member,0,12,True
REL000170,CR02677,CR01094,Financial Link,0,61,True
REL000171,CR01434,CR02977,Financial Link,0,84,True
REL000172,CR01336,CR00037,Business Partner,0,31,True
REL000173,CR01096,CR02900,Gang Member,0,85,True
REL000174,CR02002,CR02125,Associate,0,28,True
REL000175,CR02425,CR02941,Business Partner,0,26,True
REL000176,CR00058,CR02163,Associate,0,33,True
REL000177,CR01313,CR02325,Known Contact,0,27,False
REL000178,CR00536,CR02519,Business Partner,0,63,False
REL000179,CR01035,CR02542,Business Partner,0,93,False
REL000180,CR02199,CR00029,Business Partner,0,92,True
REL000181,CR02427,CR00979,Associate,0,73,True
REL000182,CR01613,CR02944,Co-Offender,0,7,False
REL000183,CR01345,CR00895,Co-Offender,0,8,True
REL000184,CR01436,CR02176,Co-Offender,0,28,True
REL000185,CR00054,CR02320,Financial Link,0,91,True
REL000186,CR01661,CR01426,Financial Link,0,41,True
REL000187,CR02819,CR00623,Gang Member,0,20,False
REL000188,CR02552,CR00583,Co-Offender,0,85,True
REL000189,CR00812,CR00330,Business Partner,0,15,True
REL000190,CR02563,CR00187,Co-Offender,0,52,False
REL000191,CR00456,CR01800,Gang Member,0,45,True
REL000192,CR01300,CR02916,Associate,0,41,True
REL000193,CR02389,CR01817,Family,0,33,True
REL000194,CR02643,CR01686,Co-Offender,0,58,True
REL000195,CR01728,CR00702,Associate,0,56,True
REL000196,CR00667,CR00104,Family,0,52,True
REL000197,CR02378,CR00670,Family,0,97,True
REL000198,CR02665,CR01553,Associate,0,88,True
REL000199,CR00684,CR01425,Known Contact,0,81,True
REL000200,CR01027,CR01721,Gang Member,0,9,False
REL000201,CR01205,CR02696,Business Partner,0,65,True
REL000202,CR01683,CR01354,Financial Link,0,12,True
REL000203,CR01792,CR01823,Co-Offender,0,40,True
REL000204,CR01821,CR02257,Gang Member,0,26,True
REL000205,CR00996,CR02916,Known Contact,0,47,True
REL000206,CR02042,CR01151,Business Partner,0,40,False
REL000207,CR00408,CR02704,Known Contact,0,80,False
REL000208,CR02100,CR00892,Business Partner,0,82,True
REL000209,CR01454,CR00292,Business Partner,0,100,True
REL000210,CR02551,CR02273,Financial Link,0,26,True
REL000211,CR02779,CR00552,Financial Link,0,1,True
REL000212,CR01111,CR01308,Co-Offender,0,75,False
REL000213,CR00064,CR02350,Gang Member,0,95,True
REL000214,CR02626,CR01416,Family,0,44,True
REL000215,CR02723,CR02208,Family,0,42,True
REL000216,CR00183,CR02858,Associate,0,25,True
REL000217,CR02188,CR02276,Financial Link,0,96,True
REL000218,CR00012,CR02734,Co-Offender,0,58,True
REL000219,CR00098,CR02485,Co-Offender,0,99,True
REL000220,CR02023,CR02591,Business Partner,0,90,True
REL000221,CR01487,CR01934,Known Contact,0,33,False
REL000222,CR01679,CR02985,Associate,0,47,True
REL000223,CR00923,CR02462,Associate,0,69,True
REL000224,CR00933,CR00610,Known Contact,0,84,True
REL000225,CR02569,CR02070,Gang Member,0,19,True
REL000226,CR01102,CR01423,Known Contact,0,72,True
REL000227,CR02913,CR01836,Known Contact,0,23,True
REL000228,CR00505,CR00189,Financial Link,0,93,True
REL000229,CR01979,CR02230,Known Contact,0,5,True
REL000230,CR01773,CR01042,Family,0,4,True
REL000231,CR02312,CR00696,Gang Member,0,19,True
REL000232,CR00694,CR02075,Co-Offender,0,81,True
REL000233,CR02502,CR01090,Business Partner,0,87,True
REL000234,CR00105,CR00536,Associate,0,28,False
REL000235,CR02119,CR01967,Associate,0,24,False
REL000236,CR02952,CR02292,Business Partner,0,5,True
REL000237,CR02673,CR02048,Co-Offender,0,70,True
REL000238,CR01312,CR01681,Co-Offender,0,29,False
REL000239,CR01727,CR01623,Known Contact,0,29,False
REL000240,CR01652,CR00684,Co-Offender,0,64,False
REL000241,CR00564,CR00621,Co-Offender,0,29,True
REL000242,CR00994,CR02295,Financial Link,0,68,True
REL000243,CR00483,CR02409,Gang Member,0,5,False
REL000244,CR00615,CR00068,Business Partner,0,54,False
REL000245,CR01167,CR01367,Known Contact,0,36,False
REL000246,CR01938,CR02734,Associate,0,53,True
REL000247,CR01755,CR02269,Family,0,80,True
REL000248,CR00131,CR01763,Known Contact,0,33,True
REL000249,CR02869,CR00671,Financial Link,0,64,False
REL000250,CR00584,CR01558,Known Contact,0,20,True
REL000251,CR00188,CR02517,Known Contact,0,50,True
REL000252,CR02420,CR00969,Co-Offender,0,14,True
REL000253,CR01171,CR01978,Known Contact,0,99,True
REL000254,CR01658,CR02051,Business Partner,0,53,True
REL000255,CR02068,CR01677,Associate,0,80,False
REL000256,CR00285,CR00232,Financial Link,0,45,True
REL000257,CR02768,CR01442,Financial Link,0,12,True
REL000258,CR00713,CR02494,Family,0,90,False
REL000259,CR02961,CR02398,Financial Link,0,14,False
REL000260,CR02293,CR02152,Family,0,2,False
REL000261,CR00574,CR00980,Family,0,29,True
REL000262,CR01669,CR02597,Co-Offender,0,26,False
REL000263,CR02247,CR00526,Associate,0,81,True
REL000264,CR02681,CR01118,Gang Member,0,56,True
REL000265,CR02180,CR02258,Business Partner,0,13,True
REL000266,CR02782,CR02926,Family,0,31,True
REL000267,CR01287,CR01027,Family,0,55,True
REL000268,CR02872,CR00843,Known Contact,0,1,True
REL000269,CR02115,CR00860,Gang Member,0,94,True
REL000270,CR00604,CR01154,Associate,0,9,True
REL000271,CR01884,CR00298,Financial Link,0,85,False
REL000272,CR01309,CR01068,Family,0,20,True
REL000273,CR02064,CR01850,Business Partner,0,57,True
REL000274,CR00090,CR00764,Associate,0,3,False
REL000275,CR02079,CR02947,Financial Link,0,91,True
REL000276,CR00829,CR02377,Co-Offender,0,16,True
REL000277,CR00514,CR00655,Financial Link,0,62,True
REL000278,CR02197,CR00011,Gang Member,0,37,True
REL000279,CR02611,CR00129,Business Partner,0,29,True
REL000280,CR00211,CR00865,Gang Member,0,45,True
REL000281,CR02273,CR01538,Family,0,33,True
REL000282,CR02777,CR02175,Associate,0,31,True
REL000283,CR01903,CR01257,Business Partner,0,66,True
REL000284,CR00842,CR01950,Associate,0,79,True
REL000285,CR02152,CR00197,Co-Offender,0,7,True
REL000286,CR01489,CR00156,Known Contact,0,56,True
REL000287,CR02656,CR00881,Associate,0,73,True
REL000288,CR01957,CR00849,Known Contact,0,33,False
REL000289,CR02308,CR01989,Co-Offender,0,8,True
REL000290,CR02161,CR00361,Known Contact,0,13,True
REL000291,CR02260,CR02400,Co-Offender,0,99,True
REL000292,CR01404,CR01899,Co-Offender,0,90,True
REL000293,CR01472,CR02265,Associate,0,71,False
REL000294,CR01758,CR01856,Known Contact,0,50,True
REL000295,CR02240,CR00525,Associate,0,77,True
REL000296,CR01449,CR02675,Associate,0,58,False
REL000297,CR01607,CR02969,Financial Link,0,94,True
REL000298,CR01530,CR00393,Co-Offender,0,75,True
REL000299,CR00651,CR00103,Known Contact,0,16,True
REL000300,CR01275,CR00959,Known Contact,0,70,True
REL000301,CR00832,CR00922,Gang Member,0,57,True
REL000302,CR01467,CR00305,Associate,0,58,True
REL000303,CR02066,CR00053,Co-Offender,0,83,True
REL000304,CR02672,CR01247,Financial Link,0,24,True
REL000305,CR00794,CR00129,Financial Link,0,66,True
REL000306,CR01824,CR00171,Financial Link,0,68,True
REL000307,CR02999,CR01217,Gang Member,0,34,False
REL000308,CR00554,CR02026,Business Partner,0,4,True
REL000309,CR02740,CR01954,Financial Link,0,28,True
REL000310,CR00586,CR00457,Business Partner,0,12,True
REL000311,CR02410,CR02856,Family,0,69,True
REL000312,CR02336,CR01678,Known Contact,0,66,True
REL000313,CR00005,CR02053,Co-Offender,0,61,False
REL000314,CR00943,CR02774,Financial Link,0,93,True
REL000315,CR00525,CR01137,Associate,0,51,True
REL000316,CR01685,CR01595,Co-Offender,0,21,True
REL000317,CR02524,CR01789,Known Contact,0,36,True
REL000318,CR00586,CR00848,Family,0,24,True
REL000319,CR02455,CR01823,Known Contact,0,72,True
REL000320,CR00720,CR00888,Gang Member,0,63,True
REL000321,CR01004,CR02667,Associate,0,69,True
REL000322,CR00154,CR00705,Financial Link,0,82,True
REL000323,CR01751,CR02741,Co-Offender,0,64,True
REL000324,CR00840,CR00111,Family,0,19,False
REL000325,CR01715,CR00900,Family,0,35,True
REL000326,CR02937,CR02144,Business Partner,0,1,False
REL000327,CR02689,CR00242,Known Contact,0,68,False
REL000328,CR00540,CR02275,Known Contact,0,12,True
REL000329,CR02340,CR02361,Family,0,72,True
REL000330,CR00933,CR00197,Associate,0,16,True
REL000331,CR01893,CR01651,Gang Member,0,1,True
REL000332,CR02613,CR02607,Associate,0,19,True
REL000333,CR02164,CR02365,Family,0,66,True
REL000334,CR02561,CR01957,Family,0,51,False
REL000335,CR02423,CR01055,Family,0,83,True
REL000336,CR00964,CR02802,Financial Link,0,57,True
REL000337,CR02937,CR00810,Business Partner,0,92,True
REL000338,CR01450,CR00144,Family,0,63,True
REL000339,CR01095,CR02307,Business Partner,0,36,True
REL000340,CR01073,CR01226,Gang Member,0,6,True
REL000341,CR02650,CR02270,Associate,0,100,False
REL000342,CR01925,CR00291,Associate,0,21,True
REL000343,CR01262,CR01707,Co-Offender,0,82,False
REL000344,CR00231,CR01377,Co-Offender,0,98,True
REL000345,CR02251,CR01295,Co-Offender,0,56,True
REL000346,CR00317,CR01090,Family,0,80,True
REL000347,CR01793,CR01135,Business Partner,0,60,True
REL000348,CR00569,CR01988,Gang Member,0,5,True
REL000349,CR02939,CR00081,Business Partner,0,12,True
REL000350,CR01159,CR02049,Associate,0,40,True
REL000351,CR00637,CR01149,Family,0,81,False
REL000352,CR01952,CR01664,Gang Member,0,28,True
REL000353,CR02643,CR00431,Co-Offender,0,60,True
REL000354,CR00183,CR01512,Family,0,15,True
REL000355,CR00490,CR01833,Financial Link,0,36,True
REL000356,CR01434,CR00270,Family,0,39,False
REL000357,CR01926,CR00183,Financial Link,0,19,True
REL000358,CR01672,CR01679,Associate,0,93,True
REL000359,CR02608,CR02218,Family,0,100,False
REL000360,CR01481,CR00771,Gang Member,0,83,False
REL000361,CR01785,CR02277,Known Contact,0,60,True
REL000362,CR02024,CR01620,Family,0,25,True
REL000363,CR01049,CR02177,Business Partner,0,48,True
REL000364,CR00931,CR00926,Gang Member,0,46,True
REL000365,CR00537,CR00390,Associate,0,85,True
REL000366,CR01519,CR00579,Financial Link,0,33,True
REL000367,CR00967,CR02308,Gang Member,0,24,False
REL000368,CR01636,CR02431,Known Contact,0,35,False
REL000369,CR00058,CR02056,Financial Link,0,74,False
REL000370,CR02840,CR00169,Known Contact,0,53,True
REL000371,CR02798,CR02213,Co-Offender,0,91,True
REL000372,CR02020,CR00535,Associate,0,19,True
REL000373,CR01116,CR02100,Financial Link,0,34,True
REL000374,CR02694,CR01699,Family,0,98,True
REL000375,CR01152,CR02369,Financial Link,0,67,True
REL000376,CR02551,CR00903,Co-Offender,0,22,True
REL000377,CR00908,CR01407,Business Partner,0,5,True
REL000378,CR01255,CR01287,Associate,0,35,False
REL000379,CR02886,CR01577,Gang Member,0,100,True
REL000380,CR00641,CR00826,Co-Offender,0,15,True
REL000381,CR01749,CR00416,Business Partner,0,4,True
REL000382,CR02143,CR01122,Known Contact,0,74,False
REL000383,CR01300,CR00434,Financial Link,0,82,False
REL000384,CR01082,CR00912,Known Contact,0,6,True
REL000385,CR01079,CR00993,Co-Offender,0,59,True
REL000386,CR01985,CR02273,Known Contact,0,26,True
REL000387,CR00731,CR00687,Associate,0,41,True
REL000388,CR00766,CR01060,Family,0,49,False
REL000389,CR00991,CR02571,Associate,0,97,False
REL000390,CR00764,CR01070,Known Contact,0,4,True
REL000391,CR00679,CR01744,Co-Offender,0,19,False
REL000392,CR01767,CR00874,Business Partner,0,4,True
REL000393,CR00757,CR01764,Family,0,9,True
REL000394,CR01821,CR01392,Known Contact,0,33,True
REL000395,CR00141,CR00950,Associate,0,22,False
REL000396,CR00719,CR02820,Co-Offender,0,57,True
REL000397,CR00977,CR02354,Family,0,91,True
REL000398,CR01431,CR02570,Co-Offender,0,88,True
REL000399,CR02741,CR02315,Gang Member,0,92,True
REL000400,CR01835,CR02922,Co-Offender,0,16,True
REL000401,CR01684,CR00848,Known Contact,0,58,False
REL000402,CR00740,CR02419,Business Partner,0,92,True
REL000403,CR01203,CR02212,Business Partner,0,17,True
REL000404,CR00270,CR02933,Co-Offender,0,37,True
REL000405,CR01781,CR02326,Co-Offender,0,90,True
REL000406,CR02904,CR01965,Gang Member,0,30,True
REL000407,CR00632,CR01966,Co-Offender,0,91,True
REL000408,CR00448,CR00771,Gang Member,0,68,True
REL000409,CR01108,CR00828,Business Partner,0,74,True
REL000410,CR01758,CR01655,Associate,0,11,True
REL000411,CR01908,CR02611,Business Partner,0,60,True
REL000412,CR00493,CR01033,Business Partner,0,62,True
REL000413,CR02476,CR01301,Financial Link,0,69,True
REL000414,CR01930,CR02621,Co-Offender,0,28,True
REL000415,CR02653,CR01799,Financial Link,0,19,False
REL000416,CR01919,CR01057,Business Partner,0,32,True
REL000417,CR02487,CR00731,Associate,0,96,True
REL000418,CR02373,CR01999,Co-Offender,0,68,True
REL000419,CR01816,CR02416,Financial Link,0,25,True
REL000420,CR01159,CR02648,Business Partner,0,53,True
REL000421,CR01470,CR02600,Known Contact,0,82,True
REL000422,CR01944,CR01821,Known Contact,0,53,True
REL000423,CR00266,CR02093,Family,0,16,True
REL000424,CR01455,CR00857,Business Partner,0,20,False
REL000425,CR01522,CR00506,Business Partner,0,21,True
REL000426,CR00755,CR02462,Family,0,95,True
REL000427,CR01209,CR02305,Associate,0,63,True
REL000428,CR01671,CR00707,Co-Offender,0,41,True
REL000429,CR00692,CR02403,Associate,0,57,True
REL000430,CR00080,CR02991,Co-Offender,0,2,True
REL000431,CR01829,CR01476,Business Partner,0,25,True
REL000432,CR01042,CR01252,Co-Offender,0,28,False
REL000433,CR01972,CR00381,Known Contact,0,8,True
REL000434,CR00909,CR02949,Gang Member,0,14,False
REL000435,CR02945,CR00532,Business Partner,0,31,True
REL000436,CR02230,CR01406,Associate,0,59,False
REL000437,CR02791,CR02699,Business Partner,0,3,True
REL000438,CR02476,CR02224,Gang Member,0,77,True
REL000439,CR02193,CR01986,Business Partner,0,56,False
REL000440,CR01680,CR02425,Gang Member,0,76,True
REL000441,CR01353,CR01669,Associate,0,12,False
REL000442,CR02116,CR00356,Business Partner,0,34,True
REL000443,CR00747,CR02939,Gang Member,0,90,True
REL000444,CR01251,CR00854,Co-Offender,0,64,True
REL000445,CR00113,CR00288,Business Partner,0,59,False
REL000446,CR01180,CR01081,Co-Offender,0,70,True
REL000447,CR02677,CR00581,Gang Member,0,43,True
REL000448,CR01966,CR01885,Business Partner,0,23,True
REL000449,CR00789,CR02343,Gang Member,0,51,True
REL000450,CR02976,CR00156,Family,0,4,False
REL000451,CR02882,CR02746,Family,0,91,True
REL000452,CR00978,CR02996,Co-Offender,0,47,True
REL000453,CR02296,CR00061,Associate,0,52,False
REL000454,CR01787,CR02873,Business Partner,0,84,True
REL000455,CR00376,CR02626,Co-Offender,0,94,True
REL000456,CR01063,CR00356,Known Contact,0,72,True
REL000457,CR01463,CR01789,Co-Offender,0,42,True
REL000458,CR00424,CR02797,Business Partner,0,97,True
REL000459,CR00707,CR02419,Known Contact,0,27,False
REL000460,CR01143,CR01531,Known Contact,0,60,False
REL000461,CR02024,CR00237,Business Partner,0,54,False
REL000462,CR02075,CR00455,Known Contact,0,81,True
REL000463,CR02244,CR00146,Gang Member,0,76,True
REL000464,CR00142,CR00026,Financial Link,0,65,True
REL000465,CR01424,CR01205,Financial Link,0,13,False
REL000466,CR02802,CR00965,Business Partner,0,16,True
REL000467,CR00924,CR01305,Gang Member,0,33,True
REL000468,CR02936,CR02059,Financial Link,0,68,True
REL000469,CR02720,CR02544,Family,0,74,False
REL000470,CR02941,CR01994,Associate,0,65,True
REL000471,CR01779,CR01207,Associate,0,42,False
REL000472,CR01718,CR02875,Co-Offender,0,90,False
REL000473,CR02041,CR02961,Known Contact,0,62,False
REL000474,CR00518,CR01184,Co-Offender,0,45,True
REL000475,CR02431,CR00800,Associate,0,91,True
REL000476,CR01103,CR02483,Family,0,46,True
REL000477,CR00870,CR01026,Associate,0,29,True
REL000478,CR02283,CR02599,Business Partner,0,36,True
REL000479,CR02738,CR00208,Business Partner,0,34,True
REL000480,CR02819,CR02574,Known Contact,0,80,True
REL000481,CR02818,CR00649,Associate,0,43,True
REL000482,CR01723,CR02480,Financial Link,0,86,True
REL000483,CR00559,CR02103,Known Contact,0,3,True
REL000484,CR02338,CR01037,Business Partner,0,33,True
REL000485,CR01461,CR00181,Gang Member,0,25,False
REL000486,CR00960,CR00101,Gang Member,0,80,False
REL000487,CR02492,CR00672,Family,0,66,True
REL000488,CR02311,CR00438,Known Contact,0,33,True
REL000489,CR00958,CR02134,Family,0,72,True
REL000490,CR01525,CR00602,Family,0,29,True
REL000491,CR01554,CR02955,Co-Offender,0,97,True
REL000492,CR02861,CR02261,Gang Member,0,36,False
REL000493,CR00430,CR01587,Financial Link,0,10,True
REL000494,CR00915,CR02825,Co-Offender,0,35,False
REL000495,CR00453,CR02517,Gang Member,0,20,True
REL000496,CR00627,CR00626,Gang Member,0,95,False
REL000497,CR00050,CR00676,Family,0,33,True
REL000498,CR02378,CR00098,Known Contact,0,6,True
REL000499,CR00487,CR00489,Associate,0,16,True
REL000500,CR02777,CR01995,Business Partner,0,32,True
REL000501,CR02527,CR01883,Financial Link,0,24,True
REL000502,CR02593,CR00128,Associate,0,55,False
REL000503,CR02288,CR00826,Known Contact,0,47,False
REL000504,CR00306,CR01967,Gang Member,0,12,True
REL000505,CR00814,CR02024,Business Partner,0,11,True
REL000506,CR02190,CR00770,Co-Offender,0,13,True
REL000507,CR02882,CR00168,Known Contact,0,91,True
REL000508,CR00484,CR01749,Business Partner,0,3,True
REL000509,CR00900,CR02712,Co-Offender,0,16,False
REL000510,CR02587,CR02015,Known Contact,0,77,True
REL000511,CR02954,CR02880,Co-Offender,0,24,True
REL000512,CR00743,CR02246,Gang Member,0,68,True
REL000513,CR01636,CR01783,Business Partner,0,66,True
REL000514,CR02460,CR01524,Known Contact,0,37,True
REL000515,CR02233,CR01214,Gang Member,0,40,True
REL000516,CR02220,CR01611,Business Partner,0,29,True
REL000517,CR01188,CR02193,Gang Member,0,15,True
REL000518,CR01435,CR00290,Gang Member,0,91,False
REL000519,CR02823,CR01695,Financial Link,0,56,True
REL000520,CR02794,CR00777,Co-Offender,0,14,True
REL000521,CR00844,CR00164,Gang Member,0,74,False
REL000522,CR01667,CR02487,Known Contact,0,46,True
REL000523,CR02575,CR02139,Known Contact,0,55,True
REL000524,CR00552,CR02945,Co-Offender,0,17,True
REL000525,CR02250,CR01918,Co-Offender,0,64,True
